data_set_id	probe_id	probe_name	gene_id	gene_acronym
942	103027	RP_Baylor_103027	20114	Sema4a
943	103027	RP_Baylor_103027	20114	Sema4a
945	103028	RP_Baylor_103028	20117	Sema4d
947	103028	RP_Baylor_103028	20117	Sema4d
950	253969	RP_Baylor_253969	20119	Sema5a
951	253969	RP_Baylor_253969	20119	Sema5a
953	253970	RP_Baylor_253970	20120	Sema5b
954	253970	RP_Baylor_253970	20120	Sema5b
955	103030	RP_Baylor_103030	20124	Sema7a
956	103030	RP_Baylor_103030	20124	Sema7a
967	253972	RP_Baylor_253972	84624	Slc18a2
968	253972	RP_Baylor_253972	84624	Slc18a2
978	102718	RP_Baylor_102718	12942	Slc6a3
979	102718	RP_Baylor_102718	12942	Slc6a3
980	103039	RP_Baylor_103039	20325	Slit2
981	103039	RP_Baylor_103039	20325	Slit2
986	103043	RP_Baylor_103043	20379	Snca
990	103043	RP_Baylor_103043	20379	Snca
1001	103041	RP_Baylor_103041	20366	Sst
1002	103041	RP_Baylor_103041	20366	Sst
1014	103052	RP_Baylor_103052	20740	Syt1
1015	103052	RP_Baylor_103052	20740	Syt1
1038	103056	RP_Baylor_103056	21094	Tac1
1039	103056	RP_Baylor_103056	21094	Tac1
1041	103060	RP_Baylor_103060	21136	Tbr1
1042	103060	RP_Baylor_103060	21136	Tbr1
1044	103063	RP_Baylor_103063	21174	Tcf4
1045	103063	RP_Baylor_103063	21174	Tcf4
1051	103071	RP_Baylor_103071	21566	Tsc22d1
1052	103071	RP_Baylor_103071	21566	Tsc22d1
1054	103072	RP_Baylor_103072	21571	Tgfbr1
1056	103073	RP_Baylor_103073	21582	Th
1058	103073	RP_Baylor_103073	21582	Th
1059	103075	RP_Baylor_103075	21603	Tiam1
1060	103075	RP_Baylor_103075	21603	Tiam1
1061	103078	RP_Baylor_103078	21644	Tle1
1062	103078	RP_Baylor_103078	21644	Tle1
1071	103076	RP_Baylor_103076	21608	Trim28
1090	103303	RP_Baylor_103303	57672	Ucn3
1091	103303	RP_Baylor_103303	57672	Ucn3
1098	103102	RP_Baylor_103102	22105	Slc32a1
1099	103102	RP_Baylor_103102	22105	Slc32a1
1102	103105	RP_Baylor_103105	22110	Vip
1104	103107	RP_Baylor_103107	22112	Vipr2
1105	103107	RP_Baylor_103107	22112	Vipr2
1111	103147	RP_Baylor_103147	23868	Wif1
1112	103147	RP_Baylor_103147	23868	Wif1
1113	103121	RP_Baylor_103121	22179	Wnt7b
1114	103121	RP_Baylor_103121	22179	Wnt7b
1115	103051	RP_Baylor_103051	20652	Wnt8a
1116	103051	RP_Baylor_103051	20652	Wnt8a
1119	103124	RP_Baylor_103124	22190	Xbp1
