row_num,gene_id,ensembl_gene_id,gene_symbol,entrez_id
10682,149585,"ENSG00000213578","CPLX3",594855
10683,23337,"ENSG00000123415","SMUG1",23583
10684,10163,"ENSG00000152669","CCNO",10309
10685,5278,"ENSG00000008710","PKD1",5310
10686,6875,"ENSG00000006638","TBXA2R",6915
10687,5213,"ENSG00000167085","PHB",5245
10688,37950,"ENSG00000138621","PPCDC",60490
10689,23187,"ENSG00000143147","GPR161",23432
10690,37193,"","NFE4",58160
10691,9903,"ENSG00000010017","RANBP9",10048
10692,4326,"ENSG00000117400","MPL",4352
10693,864,"ENSG00000114423","CBLB",868
10694,9183,"ENSG00000165983","PTER",9317
10695,80791,"ENSG00000243710","WDR65",149465
10696,53,"ENSG00000134940","ACRV1",56
10697,5881,"ENSG00000165917","RAPSN",5913
10698,80499,"ENSG00000155719","OTOA",146183
10699,6089,"ENSG00000116745","RPE65",6121
10700,33796,"ENSG00000067248","DHX29",54505
10701,10669,"ENSG00000055147","FAM114A2",10827
10702,58021,"ENSG00000170632","ARMC10",83787
10703,80043,"ENSG00000185880","TRIM69",140691
10704,79117,"ENSG00000142409","ZNF787",126208
10705,4325,"ENSG00000178802","MPI",4351
10706,9349,"ENSG00000087157","PGS1",9489
10707,2037,"ENSG00000143819","EPHX1",2052
10708,79318,"ENSG00000101292","PROKR2",128674
10709,133,"ENSG00000170425","ADORA2B",136
10710,23223,"ENSG00000094916","CBX5",23468
10711,8600,"ENSG00000104131","EIF3J",8669
10712,23151,"ENSG00000186111","PIP5K1C",23396
10713,8958,"ENSG00000169789","PRY",9081
10714,4304,"ENSG00000169184","MN1",4330
10715,10511,"ENSG00000149187","CELF1",10658
10716,81726,"ENSG00000253276","CCDC71L",168455
10717,986,"ENSG00000117399","CDC20",991
10718,8408,"ENSG00000154556","SORBS2",8470
10719,22983,"ENSG00000154822","PLCL2",23228
10720,10909,"ENSG00000165507","C10orf10",11067
10721,79564,"ENSG00000164318","EGFLAM",133584
10722,83574,"ENSG00000172073","C2orf51",200523
10723,58502,"ENSG00000123154","WDR83",84292
10724,4667,"ENSG00000124479","NDP",4693
10725,10803,"ENSG00000089248","ERP29",10961
10726,34924,"ENSG00000024526","DEPDC1",55635
10727,9371,"ENSG00000105819","PMPCB",9512
10728,5743,"ENSG00000088179","PTPN4",5775
10729,58154,"ENSG00000107551","RASSF4",83937
10730,34191,"ENSG00000011295","TTC19",54902
10731,40711,"ENSG00000197506","SLC28A3",64078
10732,7280,"ENSG00000109332","UBE2D3",7323
10733,9622,"ENSG00000100647","KIAA0247",9766
10734,10319,"ENSG00000164597","COG5",10466
10735,30590,"ENSG00000197006","METTL9",51108
10736,58115,"ENSG00000185155","MIXL1",83881
10737,4752,"ENSG00000123405","NFE2",4778
10738,6612,"ENSG00000140263","SORD",6652
10739,80793,"","C1orf84",149469
10740,36184,"ENSG00000167173","C15orf39",56905
10741,124984,"ENSG00000196844","PATE2",399967
10742,22690,"ENSG00000153574","RPIA",22934
10743,59022,"ENSG00000214262","ANKRD36BP1",84832
10744,9405,"ENSG00000011132","APBA3",9546
10745,5069,"ENSG00000184226","PCDH9",5101
10746,8544,"ENSG00000067113","PPAP2A",8611
10747,56059,"ENSG00000183690","EFHC2",80258
10748,54988,"ENSG00000131848","ZSCAN5A",79149
10749,9674,"ENSG00000139496","NUPL1",9818
10750,57724,"ENSG00000110060","PUS3",83480
10751,40576,"ENSG00000050393","CCDC90A",63933
10752,99,"ENSG00000137845","ADAM10",102
10753,33136,"ENSG00000139572","GPR84",53831
10754,436,"ENSG00000198356","ASNA1",439
10755,25695,"ENSG00000161642","ZNF385A",25946
10756,56549,"ENSG00000144120","TMEM177",80775
10757,7271,"ENSG00000170315","UBB",7314
10758,10748,"ENSG00000135148","TRAFD1",10906
10759,8347,"ENSG00000121067","SPOP",8405
10760,128683,"ENSG00000148057","IDNK",414328
10761,23513,"ENSG00000180957","PITPNB",23760
10762,2063,"ENSG00000157554","ERG",2078
